;Distance [m];Latitude;Longitude;IRI(1);IRI(17);AVG IRI
304;3040.0;56.14644624100001;8.870500264;0.559625237;0.5486817820000001;0.5541535095000001
305;3050.0;56.146534961;8.870531835;0.348838855;0.5389161179999999;0.4438774865
306;3060.0;56.146623577;8.870563613;0.9290543720000001;0.98105228;0.955053326
307;3070.0;56.146711741000004;8.870594997000001;0.805570569;1.0476014759999999;0.9265860225
308;3080.0;56.14679985;8.870626856;0.85943751;1.140821255;1.0001293825
309;3090.0;56.146888471000004;8.87065965;0.521716132;0.777849091;0.6497826115
310;3100.0;56.146976476000006;8.870692972;0.716865158;0.8288483209999999;0.7728567394999999
311;3110.0;56.147065242;8.870726755;0.529060372;0.5265399510000001;0.5278001615000001
312;3120.0;56.147153523;8.870760222000001;1.087856451;0.953863644;1.0208600475
313;3130.0;56.147241746999995;8.870794178999999;0.430298994;0.687672748;0.558985871
314;3140.0;56.147330011;8.870828648;0.476589074;0.578614981;0.5276020275
315;3150.0;56.147418271999996;8.870863716;0.767820946;0.6962252309999999;0.7320230884999999
316;3160.0;56.147506518;8.870899022;0.5530855179999999;0.524655619;0.5388705684999999
317;3170.0;56.147594805;8.870935123999999;0.5964307839999999;0.8524921959999999;0.7244614899999999
318;3180.0;56.147683015;8.870971831;0.542235822;0.889392188;0.7158140049999999
319;3190.0;56.147769898;8.871009471;1.3426286040000002;0.795590328;1.069109466
320;3200.0;56.147857429;8.871048595;1.784696267;2.155373847;1.970035057
321;3210.0;56.147944921000004;8.871087875;0.7964244070000001;0.9189180370000001;0.857671222
322;3220.0;56.148032481;8.871126805;0.752782422;1.146507338;0.9496448799999999
323;3230.0;56.148119988000005;8.871166103;0.993908492;1.205508501;1.0997084965
324;3240.0;56.148208069;8.871205028;0.704995459;0.847699097;0.776347278
325;3250.0;56.148296303;8.871244132000001;0.60403121;0.9481893509999999;0.7761102805
326;3260.0;56.148384338999996;8.87128373;1.9271416909999999;0.643369917;1.285255804
327;3270.0;56.148471939;8.871324663;0.554622143;0.571414375;0.563018259
328;3280.0;56.148558595;8.871365649;0.577908883;0.625879668;0.6018942755
329;3290.0;56.148645635;8.871406401;0.529378986;0.758525263;0.6439521245
330;3300.0;56.148732499;8.871447564;0.5661725360000001;0.544645932;0.5554092340000001
331;3310.0;56.148819552;8.871489642;0.583478814;0.995062133;0.7892704735
332;3320.0;56.148907055;8.871533306;0.443832176;0.5457744520000001;0.49480331400000005
333;3330.0;56.148994503999994;8.871577315;0.547876879;0.456383025;0.502129952
