Distance [m];Tid [s];Latitude;Longitude;IRI(1);IRI(17); HÃ¸jde [m]; Geoide hÃ¸jde [m]; DOP; Satellitter; Fixtype; GPStid; Metode; Vcar [rad]
1270.000000000; 62.375380000; 56.130849067; 8.873109664; 1.235428847; 0.981593382; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112410.000000000; 0; -0.529008508
1280.000000000; 62.779020000; 56.130926875; 8.873027570; 0.735513806; 1.214434744; 41.299999237; 42.200000763; 0.600000024; 17; 2; 112411.000000000; 0; -0.528246403
1290.000000000; 63.182680000; 56.131004964; 8.872946383; 0.711530074; 0.716500527; 41.299999237; 42.200000763; 0.600000024; 17; 2; 112411.000000000; 0; -0.522171676
1300.000000000; 63.586220000; 56.131083291; 8.872866458; 0.579931133; 0.739305894; 41.200000763; 42.200000763; 0.600000024; 17; 2; 112412.000000000; 0; -0.510164976
1310.000000000; 63.989710000; 56.131161856; 8.872788184; 0.610258640; 0.823372317; 41.200000763; 42.200000763; 0.600000024; 17; 2; 112412.000000000; 0; -0.503268421
1320.000000000; 64.388960000; 56.131239950; 8.872711724; 0.507147407; 0.720875673; 41.200000763; 42.200000763; 0.600000024; 17; 2; 112412.000000000; 0; -0.495772809
1330.000000000; 64.792160000; 56.131318942; 8.872634811; 0.665371790; 0.879812521; 41.200000763; 42.200000763; 0.600000024; 17; 2; 112413.000000000; 0; -0.492641091
1340.000000000; 65.195250000; 56.131398294; 8.872559212; 0.417798518; 0.635331581; 41.200000763; 42.200000763; 0.600000024; 17; 2; 112413.000000000; 0; -0.483717650
1350.000000000; 65.598190000; 56.131478223; 8.872484615; 0.414100807; 0.807568778; 41.299999237; 42.200000763; 0.600000024; 17; 2; 112414.000000000; 0; -0.474391282
1360.000000000; 66.001040000; 56.131558729; 8.872411180; 0.850147130; 0.973985505; 41.299999237; 42.200000763; 0.600000024; 17; 2; 112414.000000000; 0; -0.466444016
1370.000000000; 66.404050000; 56.131639548; 8.872338852; 0.732316047; 1.166111288; 41.299999237; 42.200000763; 0.600000024; 17; 2; 112414.000000000; 0; -0.458889782
1380.000000000; 66.806840000; 56.131720521; 8.872268099; 0.498451915; 0.680436328; 41.299999237; 42.200000763; 0.600000024; 17; 2; 112415.000000000; 0; -0.448730379
1390.000000000; 67.209540000; 56.131801803; 8.872198615; 0.694797531; 0.680281085; 41.299999237; 42.200000763; 0.600000024; 17; 2; 112415.000000000; 0; -0.440209955
1400.000000000; 67.612210000; 56.131883414; 8.872129879; 0.407297017; 0.835401575; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112416.000000000; 0; -0.436417490
1410.000000000; 68.011050000; 56.131964479; 8.872062604; 0.436520773; 0.517473417; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112416.000000000; 0; -0.430345923
